Date,Client,Order Quantity,Material
2019/12/24,c4,2520,12321896
2019/12/24,c4,1260,12321896
2019/12/24,c4,504,12321895
2019/12/24,c4,756,12321896
2019/12/24,c4,252,12321895
2019/12/24,c4,252,12321896
2019/12/24,c4,2520,12321895
2019/12/24,c4,2520,12321896
2019/12/24,c3,132,12320619
2019/12/24,c3,88,12320618
2019/12/24,c3,110,12320670
2019/12/24,c4,252,12321895
2019/12/24,c4,504,12321896
2019/12/24,c3,396,12320619
2019/12/24,c3,396,12320618
2019/12/24,c3,352,12320670
2019/12/24,c4,252,12321895
2019/12/24,c4,756,12321896
2019/12/24,c4,252,12321895
2019/12/24,c4,252,12321896
2019/12/24,c4,252,12321895
2019/12/24,c4,252,12321896
2019/12/24,c1,104,12246740
2019/12/24,c4,6300,12321896
2019/12/24,c2,96,12222902
2019/12/24,c4,504,12321895
2019/12/24,c4,504,12321896
2019/12/24,c4,504,12321895
2019/12/24,c4,756,12321896
2019/12/24,c1,85,12404641
2019/12/24,c4,1512,12321895
2019/12/24,c4,252,12321895
2019/12/24,c4,504,12321896
2019/12/25,c4,2520,12321895
2019/12/25,c4,1512,12321896
2019/12/25,c4,6300,12321896
2019/12/25,c5,66,12271469
2019/12/25,c2,126,11001186
2019/12/25,c2,99,11000858
2019/12/25,c2,220,11000851
2019/12/26,c2,126,12042081
2019/12/27,c3,140,12293768
2019/12/27,c3,108,12293783
2019/12/27,c3,66,12271469
2019/12/27,c3,420,12395525
2019/12/27,c3,120,12322779
2019/12/27,c1,210,12395525
2019/12/27,c1,66,12271469
2019/12/27,c1,108,12293783
2019/12/27,c8,660,12320670
2019/12/27,c8,660,12320619
2019/12/27,c8,528,12320618
2019/12/27,c4,1764,12321896
2019/12/27,c3,225,12322779
2019/12/27,c3,90,12293768
2019/12/27,c3,462,12395525
2019/12/27,c3,330,12271469
2019/12/27,c4,1008,12321896
2019/12/27,c4,168,12396696
2019/12/27,c1,378,12395525
2019/12/27,c1,216,12293783
2019/12/27,c1,60,12293768
2019/12/27,c2,220,11000851
2019/12/27,c2,396,11000858
2019/12/27,c2,126,12042081
2019/12/27,c2,126,11001186
2019/12/27,c4,56,12396696
2019/12/27,c4,56,12396696
2019/12/27,c4,56,12396696
2019/12/27,c10,198,11000858
2019/12/27,c10,48,12222902
2019/12/27,c3,84,12395525
2019/12/27,c3,40,12293768
2019/12/27,c4,392,12396696
2019/12/27,c5,140,12404641
2019/12/27,c5,330,12271469
2019/12/27,c7,216,12293783
2019/12/27,c5,294,12404641
2019/12/27,c4,28,12396696
2019/12/27,c4,1512,12321895
2019/12/27,c5,294,12404641
2019/12/27,c5,126,12042081
2019/12/27,c8,660,12320670
2019/12/27,c8,660,12320619
2019/12/27,c8,264,12320618
2019/12/27,c5,98,12404641
2019/12/27,c5,66,12271469
2019/12/27,c4,28,12396696
2019/12/27,c5,99,11000858
2019/12/27,c3,126,12395525
2019/12/27,c8,660,12320670
2019/12/27,c8,660,12320619
2019/12/27,c8,396,12320618
2019/12/27,c6,56,12395525
2019/12/28,c6,60,12293768
2019/12/28,c5,42,12042081
2019/12/28,c5,33,11000851
2019/12/29,c3,22,11000858
2019/12/29,c3,63,12042081
2019/12/29,c3,11,11000851
2019/12/29,c1,144,12222902
2019/12/29,c7,66,12320670
2019/12/29,c7,44,12320619
2019/12/29,c7,44,12320618
2019/12/29,c5,630,12322779
2019/12/29,c1,126,12395525
2019/12/30,c1,108,12293783
2019/12/30,c1,60,12293768
2019/12/30,c1,126,11001186
2019/12/30,c1,126,12042081
2019/12/30,c1,104,12246740
2019/12/30,c4,594,12365978
2019/12/30,c8,132,12320670
2019/12/30,c8,132,12320619
2019/12/30,c8,132,12320618
2019/12/30,c2,104,12246740
2019/12/30,c4,792,12365978
2019/12/30,c4,396,12365978
2019/12/30,c8,42,12395525
2019/12/30,c8,210,12322779
2019/12/30,c8,108,12293783
2019/12/30,c8,98,12404641
2019/12/30,c8,80,12293768
2019/12/30,c2,210,12322779
2019/12/30,c2,198,12271469
2019/12/30,c2,84,12395525
2019/12/30,c2,80,12293768
2019/12/30,c2,330,11000851
2019/12/30,c2,198,11000858
2019/12/30,c2,126,11001186
2019/12/30,c2,400,12293768
2019/12/30,c4,252,12321895
2019/12/30,c8,42,12395525
2019/12/30,c8,196,12404641
2019/12/30,c8,160,12293768
2019/12/30,c2,216,12293783
2019/12/30,c2,84,12395525
2019/12/30,c2,396,12271469
2019/12/30,c2,1155,12322779
2019/12/30,c4,28,12396696
2019/12/30,c2,160,12293768
2019/12/30,c7,440,12320670
2019/12/30,c7,330,12320619
2019/12/30,c7,330,12320618
2019/12/30,c4,198,12365978
2019/12/30,c4,252,12321896
2019/12/30,c1,181,12404641
2019/12/30,c8,126,12042081
2019/12/30,c8,126,11001186
2019/12/30,c2,84,12395525
2019/12/30,c2,60,12322779
2019/12/30,c2,90,12293783
2019/12/30,c2,132,12271469
2019/12/30,c4,252,12321895
2019/12/30,c4,594,12365978
2019/12/30,c3,198,11000858
2019/12/30,c3,336,11001186
2019/12/30,c3,252,12042081
2019/12/30,c7,22,12320619
2019/12/30,c7,22,12320618
2019/12/30,c4,756,12321896
2019/12/30,c4,504,12321895
2019/12/31,c4,252,12321896
2019/12/31,c4,504,12321895
2019/12/31,c3,63,12042081
2019/12/31,c3,126,11001186
2019/12/31,c3,33,11000851
2019/12/31,c3,330,12320619
2019/12/31,c3,220,12320618
2019/12/31,c3,330,12320670
2019/12/31,c6,54,12293783
2019/12/31,c4,252,12396696
2019/12/31,c3,42,12395525
2019/12/31,c4,224,12396696
2019/12/31,c4,2772,12321895
2019/12/31,c3,96,12222902
2019/12/31,c3,66,12320618
2019/12/31,c3,110,12320619
2019/12/31,c3,88,12320670
2019/12/31,c3,20,12293768
2019/12/31,c3,12,12322779
2019/12/31,c3,294,12404641
2019/12/31,c3,84,12395525
2019/12/31,c3,54,12293783
2019/12/31,c1,16,12404641
2019/12/31,c1,104,12246740
2019/12/31,c3,374,12320618
2019/12/31,c3,330,12320619
2019/12/31,c3,242,12320670
2019/12/31,c4,1036,12396696
2019/12/31,c4,594,12365978
2019/12/31,c1,126,11001186
2019/12/31,c1,96,12222902
2019/12/31,c1,126,12395525
2019/12/31,c1,66,12271469
2019/12/31,c1,108,12293783
2019/12/31,c1,10,12293768
2019/12/31,c1,126,11001186
2019/12/31,c1,126,12042081
2019/12/31,c5,110,11000851
2019/12/31,c2,44,12320618
2019/12/31,c2,88,12320619
2019/12/31,c2,88,12320670
2019/12/31,c3,132,12271469
2019/12/31,c3,216,12293783
2019/12/31,c3,160,12293768
2019/12/31,c3,225,12322779
2019/12/31,c3,336,12395525
2019/12/31,c2,48,12222902
2019/12/31,c4,756,12321895
2019/12/31,c1,35,12404641
2019/12/31,c1,64,12404641
2019/12/31,c2,84,12395525
2019/12/31,c2,108,12293783
2019/12/31,c2,594,12271469
2019/12/31,c6,108,12293783
2019/12/31,c6,392,12404641
2019/12/31,c6,80,12293768
2019/12/31,c4,2016,12321895
2019/12/31,c1,132,12320670
2019/12/31,c1,264,12320618
2019/12/31,c4,28,12396696
2019/12/31,c3,144,12222902
2019/12/31,c3,144,12222902
2019/12/31,c1,132,12320619
2019/12/31,c1,132,12320670
2019/12/31,c1,132,12320618
2019/12/31,c3,176,12320670
2019/12/31,c3,220,12320619
2019/12/31,c3,308,12320618
2019/12/31,c5,48,12222902
2019/12/31,c3,176,12320618
2019/12/31,c3,176,12320619
2019/12/31,c3,110,12320670
2019/12/31,c7,378,11001186
2019/12/31,c7,330,11000851
2019/12/31,c7,99,11000858
2019/12/31,c1,99,11000858
2019/12/31,c1,220,11000851
2019/12/31,c1,378,11001186
2019/12/31,c1,378,12042081
2019/12/31,c4,1260,12396696
2019/12/31,c5,30,12322779
2019/12/31,c1,168,12395525
2019/12/31,c1,132,12271469
2019/12/31,c1,216,12293783
2019/12/31,c1,80,12293768
2019/12/31,c2,84,12395525
2019/12/31,c2,120,12322779
2019/12/31,c2,66,12271469
2019/12/31,c10,144,12222902
2019/12/31,c10,488,12322779
2020/1/1,c10,264,12271469
2020/1/1,c4,396,12365978
2020/1/1,c2,126,12042081
2020/1/1,c2,126,11001186
2020/1/1,c2,198,11000858
2020/1/1,c2,440,11000851
2020/1/1,c7,44,12320670
2020/1/1,c7,44,12320619
2020/1/1,c7,44,12320618
2020/1/1,c10,96,12222902
2020/1/1,c4,2016,12321895
2020/1/1,c10,99,11000858
2020/1/1,c10,252,11001186
2020/1/2,c10,252,12042081
2020/1/2,c2,126,11001186
2020/1/2,c2,330,11000851
2020/1/2,c2,252,12042081
2020/1/2,c2,198,11000858
2020/1/2,c1,147,12404641
2020/1/2,c2,320,12293768
2020/1/2,c10,210,12042081
2020/1/2,c10,144,12222902
2020/1/2,c3,63,12042081
2020/1/2,c3,33,11000858
2020/1/2,c3,63,11001186
2020/1/2,c7,315,12322779
2020/1/2,c8,264,12320670
2020/1/2,c8,264,12320619
2020/1/2,c8,132,12320618
2020/1/2,c2,48,12222902
2020/1/2,c10,270,12322779
2020/1/2,c4,196,12396696
2020/1/2,c3,96,12222902
2020/1/2,c2,98,12404641
2020/1/2,c2,98,12404641
2020/1/2,c1,110,11000851
2020/1/2,c1,144,12222902
2020/1/2,c7,126,11001186
2020/1/2,c7,110,11000851
2020/1/2,c7,99,11000858
2020/1/2,c1,132,12320619
2020/1/2,c1,132,12320670
2020/1/2,c1,132,12320618
2020/1/2,c7,385,12271469
2020/1/2,c7,66,12271469
2020/1/2,c7,60,12322779
2020/1/2,c4,1008,12321895
2020/1/2,c2,220,12320619
2020/1/2,c2,220,12320670
2020/1/2,c2,132,12320618
2020/1/2,c1,126,11001186
2020/1/2,c1,126,12042081
2020/1/2,c4,2268,12321895
2020/1/2,c4,28,12396696
2020/1/3,c8,252,12042081
2020/1/3,c8,99,11000858
2020/1/3,c8,110,11000851
2020/1/3,c4,1764,12321895
2020/1/3,c3,330,12271469
2020/1/3,c3,252,12395525
2020/1/3,c3,180,12322779
2020/1/3,c3,70,12293768
2020/1/3,c3,108,12293783
2020/1/3,c3,96,12222902
2020/1/3,c3,144,12222902
2020/1/3,c1,104,12246740
2020/1/3,c4,1008,12321895
2020/1/3,c6,210,12395525
2020/1/3,c3,24,12322779
2020/1/3,c3,84,12395525
2020/1/3,c3,20,12293768
2020/1/3,c1,252,12395525
2020/1/3,c1,198,12271469
2020/1/3,c1,105,12322779
2020/1/3,c1,216,12293783
2020/1/3,c1,100,12293768
2020/1/3,c7,196,12404641
2020/1/3,c3,84,12395525
2020/1/3,c3,44,12271469
2020/1/3,c3,490,12404641
2020/1/3,c5,105,12042081
2020/1/3,c5,147,11001186
2020/1/3,c5,319,11000858
2020/1/3,c5,440,11000851
2020/1/3,c2,104,12246740
2020/1/3,c3,252,11001186
2020/1/3,c3,189,12042081
2020/1/3,c3,198,11000858
2020/1/3,c1,104,12246740
2020/1/3,c5,63,12042081
2020/1/3,c5,99,11000858
2020/1/3,c1,294,12395525
2020/1/3,c1,66,12271469
2020/1/3,c1,108,12293783
2020/1/3,c4,594,12365978
2020/1/3,c2,110,12320670
2020/1/3,c2,44,12320619
2020/1/3,c1,168,12395525
2020/1/3,c1,66,12271469
2020/1/3,c1,108,12293783
2020/1/3,c1,40,12293768
2020/1/3,c1,192,12222902
2020/1/3,c10,96,12222902
2020/1/3,c1,132,12320619
2020/1/3,c1,132,12320670
2020/1/3,c1,264,12320618
2020/1/3,c4,396,12365978
2020/1/3,c1,99,11000858
2020/1/3,c1,126,11001186
2020/1/6,c1,126,12042081
2020/1/6,c3,196,12404641
2020/1/6,c3,44,12271469
2020/1/6,c3,126,12395525
2020/1/6,c3,12,12322779
2020/1/6,c1,269,12404641
